id_drug|contra_indication 
101|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
101|Do not exceed the recommended dose
101|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
101|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
101|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
101|Patients with heart problems and diabetes mellitus
101|Patients with severe liver dysfunction
101|Hypersensitivity to the components of this drug
102|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
102|Do not exceed the recommended dose
102|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
102|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
102|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
102|Patients with heart problems and diabetes mellitus
102|Patients with severe liver dysfunction
102|Hypersensitivity to the components of this drug
103|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
103|Do not exceed the recommended dose
103|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
103|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
103|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
103|Patients with heart problems and diabetes mellitus
103|Patients with severe liver dysfunction
103|Hypersensitivity to the components of this drug
104|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
104|Do not exceed the recommended dose
104|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
104|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
104|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
104|Sufferers are hypersensitive to the components of this drug
104|Sufferers of heart problems and diabetes mellitus
105|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
105|Do not exceed the recommended dose
105|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
105|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
105|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
105|Sufferers are hypersensitive to the components of this drug
105|Sufferers of heart problems and diabetes mellitus
106|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
106|Do not exceed the recommended dose
106|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
106|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
106|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
106|Patients with heart problems and diabetes mellitus
106|Patients with severe liver dysfunction
106|Hypersensitivity to the components of this drug
107|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
107|Do not exceed the recommended dose
107|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
107|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
107|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
107|Patients with heart problems and diabetes mellitus
107|Patients with severe liver dysfunction
107|Patients with hyperthyroidism
108|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
108|Do not exceed the recommended dose
108|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
108|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
108|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
108|Patients with heart problems and diabetes mellitus
108|Patients with severe liver dysfunction
108|Hypersensitivity to the components of this drug
109|Avoid use in patients with conditions
109|Patients who have a history of hypersensitivity to any of the ingredients of sanaflu
109|Patients who have a history of decreased liver function
109|Patients who have a history of high blood pressure
110|Hypersensitivity to paracetamol. Patients with liver and kidney dysfunction
111|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
111|Do not exceed the recommended dose
111|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
111|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
111|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
111|Sufferers are hypersensitive to the components of this drug
111|Sufferers of heart problems and diabetes mellitus
